F7,T7,P7,O1,TP9,Fz,Cz,Fp2,F8,T8,P8,O2,TP10,Pz,Cpz
-1.7450536688556895e-05,-8.821486289889435e-06,-2.1848661617696052e-06,-3.595920361476601e-06,8.367589998670155e-07,6.276165265717282e-06,-3.1076006052899174e-06,2.0095699255762156e-05,2.8583299354068004e-05,3.982479057640376e-06,-4.952945744207682e-06,-6.6564243752509356e-06,-5.88109833188355e-06,-4.6591464979428565e-06,-2.464376393618295e-06
-0.00012516080460045487,-5.0049988203682005e-05,-1.997457366087474e-05,-1.5065582601891947e-05,-1.907559499159106e-05,-2.3489799559683888e-05,-2.459388088027481e-05,4.7740100853843614e-05,0.0001586343496455811,4.965821972291451e-05,2.6429342597111827e-05,3.5348407436686102e-06,2.1581897101441427e-05,-2.0764389148553164e-05,-9.404140769220248e-06
-0.00020097340893698856,-5.3465015298570506e-05,1.0777046554721892e-05,1.1192282556748978e-05,6.294733793765772e-06,-3.3107335184467956e-05,-9.837169727688888e-06,-2.4815178221615497e-05,0.00013438492896966636,5.090318700240459e-05,2.5677200028439984e-05,1.3162594314053422e-05,5.030187503507477e-05,1.1099666153313592e-05,8.404592335864436e-06
-6.882071102154441e-05,-1.588710438227281e-05,5.442334440886043e-06,1.0362051398260519e-05,-6.050356660125544e-08,7.46334990253672e-07,1.265992432308849e-05,-7.4071976996492594e-06,3.10618088406045e-05,-1.3732649676967412e-05,7.3586088547017425e-06,1.235991749126697e-05,-6.084046617615968e-07,1.2637885447475128e-05,1.3887716704630293e-05
-6.20040373178199e-05,-1.1746706150006503e-05,-6.996504680500948e-06,-8.075210644165054e-06,-7.49038463254692e-06,1.3968873645353597e-05,-5.509702532435767e-06,4.0395672840531915e-05,8.328145850100555e-05,-1.2781623809132725e-05,-7.37547998141963e-06,-5.67523056815844e-06,-6.568188837263733e-07,-3.2908828870858997e-06,-6.043432222213596e-06
-7.091766565281432e-05,-2.030434428945682e-05,-2.621667903213165e-06,-2.9348502721404657e-06,7.781791282468475e-07,-1.2026452964164491e-05,-1.3516614671971183e-06,-1.911061190185137e-06,6.0771440075768624e-05,2.9301365202627494e-05,9.026222187458188e-06,-3.702255980897462e-06,1.2816924026992638e-05,-4.904829893348506e-07,3.5663124435814098e-06
-8.783737575868145e-05,-2.58799427683698e-05,-4.345609113443061e-06,-5.891247212730377e-06,-9.447014008401311e-06,-5.0146625198976835e-06,7.820647169864969e-07,6.569716788362712e-06,6.113630297477357e-05,2.9636063118232414e-05,6.6522609358798945e-06,-1.730324697746255e-06,2.2383802388503682e-05,5.661237992171664e-06,7.32472722120292e-06
-2.6067791623063385e-05,-1.0831533472810406e-05,-3.005822691193316e-06,-1.3218359526945278e-06,-1.946336841029961e-06,-2.7594566063271486e-06,6.26982432549994e-06,-5.46645628674014e-06,8.16599776953808e-06,8.584514262111043e-06,6.019075954100117e-06,2.2671119950246066e-06,4.901381544186734e-06,7.197158993221819e-06,7.99416699237554e-06
-0.000219485598790925,-6.280816705839243e-05,-2.0456822085179738e-05,-7.613904926984105e-06,-2.805945769068785e-05,1.51880476551014e-06,3.6322028336144285e-06,3.894621511335572e-05,0.00017117701281677,5.06131964357337e-05,2.2072481442592107e-05,3.2364580420107814e-06,3.660296533780638e-05,4.542554961517453e-06,6.082053459977033e-06
-4.158220508543309e-05,-2.0211479750287253e-05,6.414340532501228e-06,1.2329142748512822e-05,2.1025731484769494e-06,-2.6474572223378345e-06,8.294525741803227e-06,-2.048003352683736e-06,1.8502606508263852e-05,-1.4196894881024491e-05,1.5986174730642233e-06,1.2491710549511481e-05,-5.3062240112922154e-06,1.2892767699668184e-05,1.1365981848143747e-05
-6.162612726257066e-05,-1.1969195711003522e-05,3.0195164981705602e-06,1.089836814571754e-05,2.069403763016453e-06,-1.595119238118059e-05,-1.0986323104589246e-06,-1.0142014161829138e-05,3.565876386346645e-05,1.0696318895497825e-05,1.0610609933792148e-05,8.906803373065486e-06,1.3564381333708297e-05,3.334005384658667e-06,2.028991481495268e-06
