Fp1,F7,T7,P7,O1,F3,C3,P3,Fp2,F8,T8,P8,O2,F4,P4,Cpz
-5.721685738535598e-06,-2.2719500478274313e-05,-1.1020580132026225e-05,-5.6736034821369685e-06,1.6499279809067957e-07,-6.211233198882837e-07,3.04632021652651e-06,9.071982276509516e-07,7.919825293356553e-07,1.3164497431716882e-05,7.330595451549016e-06,3.813450121015194e-06,1.6042833976825932e-06,8.611087991994282e-06,4.35645648622085e-06,1.9656290533021092e-06
-1.2793198038707487e-05,-3.586256788423725e-05,-7.359562232522876e-06,1.4659315183962462e-06,1.5677567262173397e-06,-1.2202728157717502e-05,-6.948308509890921e-06,-3.209111355317873e-06,5.963071089354344e-06,2.775237680907594e-05,1.3811096778226783e-05,7.583894785057055e-06,2.767395017144736e-06,1.0869973266380839e-05,4.703297690866748e-06,1.8906812329078093e-06
3.872842989949277e-05,-4.082345731148962e-05,-2.966368538181996e-05,-2.1562399524555076e-05,-1.801474718376994e-05,5.573150133386662e-06,-4.600362672135816e-06,-1.4076522347750142e-06,4.62983844045084e-05,2.8541489882627502e-05,1.7212661305165966e-06,-6.494461104011862e-06,-7.99511153104504e-06,1.7088053027691785e-05,2.7579387165133085e-06,-1.0146833460566995e-05
-4.216275101498468e-06,-2.4882338038878515e-05,-3.669723537313985e-05,-7.729291610303335e-06,8.208312920032768e-06,-4.404391347634373e-06,-1.0556994766375283e-05,-6.775335805286886e-06,5.638553830067394e-06,1.2991209359825007e-05,1.4830355667072581e-05,1.694956335995812e-05,1.2147493976044643e-05,6.177893965286785e-06,7.875385108491173e-06,1.0443093458434305e-05
-4.1576427065592725e-06,-1.172876795862976e-05,-4.5947786020406056e-07,4.252754479239229e-06,3.358064304848085e-06,-2.441292281218921e-06,-2.417602331661328e-06,-9.697112659523555e-07,2.55853569797182e-06,1.243077417711902e-05,3.46210242696543e-06,-1.6505321127624484e-06,-5.031138243793976e-07,1.1938479929085588e-06,-3.537471229719813e-06,6.095317530707689e-07
-1.4173582030707621e-05,-2.9911341471233754e-05,1.899518338177586e-06,9.70630955521301e-06,3.8708756164851366e-06,-2.965502062579617e-06,-1.0650637705111876e-07,5.1816268182847125e-06,-6.64758670154697e-06,1.3460174614010612e-05,2.757749825832434e-06,5.943002179265022e-07,2.897487320296932e-06,5.579930416388379e-06,4.923420846125737e-06,2.933125870185904e-06
2.3502384465245996e-06,-2.2342158388255484e-05,-1.2569669706863351e-05,-7.350145921236617e-06,-6.8194167397450656e-06,-1.1019969861081336e-05,-1.0574440807431529e-05,-6.547699712200483e-06,1.7200034790221252e-05,2.920550832641311e-05,1.800166501197964e-05,9.444864758734184e-06,-2.966823558381293e-06,7.935601615827181e-06,2.0782499632332474e-07,-4.155412824502491e-06
-1.202238036057679e-05,-2.6140891577597358e-05,-7.083985337885679e-06,1.7039459976331273e-07,2.6839510951504053e-06,-2.4049718376772944e-06,-5.719093678635545e-07,-1.0427493180031888e-06,-5.460025022330228e-06,1.1641505352599779e-05,9.638759593144641e-06,8.661523679620586e-06,6.0287168253125856e-06,8.45940508042986e-06,3.7342874747992028e-06,3.7083691495354287e-06
0.00010647378530848073,-4.182336510893947e-05,-4.4067346948395425e-05,-4.263510663804482e-05,-4.067671056873223e-05,1.478428839618573e-05,-8.329745469382033e-06,-1.9430033717071638e-05,8.886551677278476e-05,4.9664449761621654e-05,3.4416443668305874e-06,-1.6452186287096993e-05,-3.255795490986202e-05,2.5305203394054843e-05,-7.762549103063066e-06,-3.4799893455783604e-05
7.042219476716127e-05,-8.008907389012165e-05,-5.827206859976286e-05,-3.6797950087930076e-05,-2.6963329219142906e-05,-1.4077595551498234e-05,-2.789905511235702e-05,-2.421907993266359e-05,8.769787746132351e-05,7.500137508031912e-05,3.433590063650627e-05,1.1392179658287205e-05,-1.5207907381409314e-05,2.6712931685324293e-05,-1.6189399119070913e-06,-2.0417456653376576e-05
-1.7926349755725823e-05,-3.5115655009576585e-05,-1.164024934041663e-05,3.1951249184203334e-06,9.248590103538845e-06,-5.6206314980045136e-06,3.5661313404489192e-06,8.588080504523532e-06,-3.8325993045873474e-06,1.0661035503289895e-05,4.614692898030626e-06,5.961404269783088e-06,6.143152404547436e-06,8.204111509257928e-06,6.644441100434051e-06,7.308719887078041e-06
