# ts,saccadeRate
1.690476556979576571e+03,2.200000000000000178e+00
1.695476556979576571e+03,2.200000000000000178e+00
1.700476556979576571e+03,2.000000000000000000e+00
1.705476556979576571e+03,3.200000000000000178e+00
1.710476556979576571e+03,3.000000000000000000e+00
1.715476556979576571e+03,1.600000000000000089e+00
1.720476556979576571e+03,2.599999999999999645e+00
1.725476556979576571e+03,1.800000000000000044e+00
1.730476556979576571e+03,1.399999999999999911e+00
1.735476556979576571e+03,1.799999999999999822e+00
1.740476556979576571e+03,1.800000000000000044e+00
1.745476556979576571e+03,2.000000000000000000e+00
1.750476556979576571e+03,2.000000000000000000e+00
1.755476556979576571e+03,1.000000000000000000e+00
1.760476556979576571e+03,1.600000000000000089e+00
1.765476556979576571e+03,1.200000000000000178e+00
1.770476556979576571e+03,6.000000000000000888e-01
1.775476556979576571e+03,6.000000000000000888e-01
1.780476556979576571e+03,1.000000000000000000e+00
1.785476556979576571e+03,1.800000000000000044e+00
1.790476556979576571e+03,1.200000000000000178e+00
1.795476556979576571e+03,4.000000000000000222e-01
1.800476556979576571e+03,3.400000000000000355e+00
1.805476556979576571e+03,3.200000000000000178e+00
1.810476556979576571e+03,2.399999999999999911e+00
1.815476556979576571e+03,6.000000000000000888e-01
1.820476556979576571e+03,1.399999999999999911e+00
1.825476556979576571e+03,1.000000000000000000e+00
1.830476556979576571e+03,1.399999999999999911e+00
1.835476556979576571e+03,1.000000000000000000e+00
1.840476556979576571e+03,4.000000000000000222e-01
1.845476556979576571e+03,2.000000000000000111e-01
1.850476556979576571e+03,4.000000000000000222e-01
1.855476556979576571e+03,4.000000000000000222e-01
1.860476556979576571e+03,4.000000000000000222e-01
1.865476556979576571e+03,4.000000000000000222e-01
1.870476556979576571e+03,0.000000000000000000e+00
1.875476556979576571e+03,6.000000000000000888e-01
1.880476556979576571e+03,3.000000000000000000e+00
1.885476556979576571e+03,3.600000000000000089e+00
1.890476556979576571e+03,2.600000000000000089e+00
1.895476556979576571e+03,2.399999999999999911e+00
1.900476556979576571e+03,2.399999999999999911e+00
1.905476556979576571e+03,1.800000000000000044e+00
1.910476556979576571e+03,1.399999999999999911e+00
1.915476556979576571e+03,4.000000000000000222e-01
1.920476556979576571e+03,8.000000000000000444e-01
1.925476556979576571e+03,1.000000000000000000e+00
1.930476556979576571e+03,1.399999999999999911e+00
1.935476556979576571e+03,2.600000000000000089e+00
1.940476556979576571e+03,2.399999999999999911e+00
1.945476556979576571e+03,1.799999999999999822e+00
1.950476556979576571e+03,2.799999999999999822e+00
1.955476556979576571e+03,2.000000000000000000e+00
1.960476556979576571e+03,3.000000000000000000e+00
1.965476556979576571e+03,2.000000000000000000e+00
1.970476556979576571e+03,1.399999999999999911e+00
1.975476556979576571e+03,1.600000000000000089e+00
1.980476556979576571e+03,2.399999999999999911e+00
1.985476556979576571e+03,3.600000000000000089e+00
1.990476556979576571e+03,2.399999999999999911e+00
1.995476556979576571e+03,3.399999999999999911e+00
2.000476556979576571e+03,1.799999999999999822e+00
2.005476556979576571e+03,2.600000000000000089e+00
2.010476556979576571e+03,1.800000000000000044e+00
2.015476556979576571e+03,1.000000000000000000e+00
2.020476556979576571e+03,1.399999999999999911e+00
2.025476556979576571e+03,2.799999999999999822e+00
2.030476556979576571e+03,1.000000000000000000e+00
2.035476556979576571e+03,2.200000000000000178e+00
2.040476556979576571e+03,1.399999999999999911e+00
2.045476556979576571e+03,2.000000000000000000e+00
2.050476556979576344e+03,1.600000000000000089e+00
2.055476556979576344e+03,1.000000000000000000e+00
2.060476556979576344e+03,1.000000000000000000e+00
2.065476556979576344e+03,5.999999999999999778e-01
2.070476556979576344e+03,1.800000000000000044e+00
2.075476556979576344e+03,1.000000000000000000e+00
2.080476556979576344e+03,1.599999999999999867e+00
2.085476556979576344e+03,3.799999999999999822e+00
2.090476556979576344e+03,1.600000000000000089e+00
2.095476556979576344e+03,2.000000000000000000e+00
2.100476556979576344e+03,1.800000000000000044e+00
2.105476556979576344e+03,2.200000000000000178e+00
2.110476556979576344e+03,8.000000000000000444e-01
2.115476556979576344e+03,1.600000000000000089e+00
2.120476556979576344e+03,1.399999999999999911e+00
2.125476556979576344e+03,2.000000000000000000e+00
2.130476556979576344e+03,2.000000000000000000e+00
2.135476556979576344e+03,1.399999999999999911e+00
2.140476556979576344e+03,1.800000000000000044e+00
2.145476556979576344e+03,1.200000000000000178e+00
2.150476556979576344e+03,2.000000000000000000e+00
2.155476556979576344e+03,1.800000000000000044e+00
2.160476556979576344e+03,1.000000000000000000e+00
2.165476556979576344e+03,1.799999999999999822e+00
2.170476556979576344e+03,8.000000000000000444e-01
2.175476556979576344e+03,1.199999999999999956e+00
2.180476556979576344e+03,2.599999999999999645e+00
2.185476556979576344e+03,1.800000000000000044e+00
2.190476556979576344e+03,8.000000000000000444e-01
