# ts,pupil
1.600476556979576571e+03,3.557114761115316881e+00
1.605476556979576571e+03,3.616008638683902099e+00
1.610476556979576571e+03,3.591860795943911722e+00
1.615476556979576571e+03,3.488779475796186524e+00
1.620476556979576571e+03,3.678926257240598297e+00
1.625476556979576571e+03,3.642157812072798428e+00
1.630476556979576571e+03,3.562011042677883044e+00
1.635476556979576571e+03,3.971465158745210555e+00
1.640476556979576571e+03,3.968991664764706329e+00
1.645476556979576571e+03,3.925117349273472112e+00
1.650476556979576571e+03,3.800757594900236125e+00
1.655476556979576571e+03,3.877315596425795263e+00
1.660476556979576571e+03,3.930134531381608731e+00
1.665476556979576571e+03,3.837158603212881491e+00
1.670476556979576571e+03,3.903031731698366702e+00
1.675476556979576571e+03,3.885308754144656707e+00
1.680476556979576571e+03,3.885870674287700055e+00
1.685476556979576571e+03,3.726549676189771176e+00
1.690476556979576571e+03,3.781725202182807610e+00
1.695476556979576571e+03,3.527132397660345919e+00
1.700476556979576571e+03,3.730752679663122073e+00
1.705476556979576571e+03,3.415654363591383635e+00
1.710476556979576571e+03,3.807886686137194054e+00
1.715476556979576571e+03,3.634537772834174785e+00
1.720476556979576571e+03,3.973680231728696111e+00
1.725476556979576571e+03,3.707401898112789862e+00
1.730476556979576571e+03,3.906798993177621693e+00
1.735476556979576571e+03,3.690384893968857050e+00
1.740476556979576571e+03,3.522610278643830028e+00
1.745476556979576571e+03,3.875651410535152941e+00
1.750476556979576571e+03,3.831768934527028048e+00
1.755476556979576571e+03,3.304490305532989058e+00
1.760476556979576571e+03,3.746777869026015839e+00
1.765476556979576571e+03,3.697713339239434571e+00
1.770476556979576571e+03,3.583133955535899418e+00
1.775476556979576571e+03,3.557360514560543585e+00
1.780476556979576571e+03,3.148095476921783487e+00
1.785476556979576571e+03,3.839863412715487812e+00
1.790476556979576571e+03,3.831385950633106940e+00
1.795476556979576571e+03,3.471054763457057213e+00
1.800476556979576571e+03,3.802874507549735217e+00
1.805476556979576571e+03,3.743899912646343253e+00
1.810476556979576571e+03,3.488440853841654921e+00
1.815476556979576571e+03,3.363976857500865503e+00
1.820476556979576571e+03,3.304249596269334788e+00
1.825476556979576571e+03,3.294438276876504368e+00
1.830476556979576571e+03,3.197067834255721941e+00
1.835476556979576571e+03,3.252505665563326875e+00
1.840476556979576571e+03,3.248248643527009261e+00
1.845476556979576571e+03,3.195158774337126140e+00
1.850476556979576571e+03,3.262909128778854306e+00
1.855476556979576571e+03,3.272568773731364900e+00
1.860476556979576571e+03,3.377326978336196550e+00
1.865476556979576571e+03,3.546618640565627256e+00
1.870476556979576571e+03,3.389344183620310424e+00
1.875476556979576571e+03,3.327968620262378163e+00
1.880476556979576571e+03,3.251356533648518177e+00
1.885476556979576571e+03,3.364051126508674106e+00
1.890476556979576571e+03,3.349231681053063348e+00
1.895476556979576571e+03,3.422663482256487200e+00
1.900476556979576571e+03,3.473703740462890099e+00
1.905476556979576571e+03,nan
1.910476556979576571e+03,3.606313377170601964e+00
1.915476556979576571e+03,3.477250460406043686e+00
1.920476556979576571e+03,3.569906942752040457e+00
1.925476556979576571e+03,3.504551735263134127e+00
1.930476556979576571e+03,3.499879023882161988e+00
1.935476556979576571e+03,3.535388367623465200e+00
1.940476556979576571e+03,3.528200022455004525e+00
1.945476556979576571e+03,3.762394115027787311e+00
1.950476556979576571e+03,3.681865795608938896e+00
1.955476556979576571e+03,3.209265038066125619e+00
1.960476556979576571e+03,3.345698929570933178e+00
1.965476556979576571e+03,3.797750829273997653e+00
1.970476556979576571e+03,3.712677386346711295e+00
1.975476556979576571e+03,3.701984212605808899e+00
1.980476556979576571e+03,3.736113903310791073e+00
1.985476556979576571e+03,3.731818334767090573e+00
1.990476556979576571e+03,3.814839764249712051e+00
1.995476556979576571e+03,3.839072379513124744e+00
2.000476556979576571e+03,3.471410644281416769e+00
2.005476556979576571e+03,3.415839845659434548e+00
2.010476556979576571e+03,3.829223848047801138e+00
2.015476556979576571e+03,3.795589406175485792e+00
2.020476556979576571e+03,3.753043663918200767e+00
2.025476556979576571e+03,3.821580824948755506e+00
2.030476556979576571e+03,3.308119773402504293e+00
2.035476556979576571e+03,3.662103052748096221e+00
2.040476556979576571e+03,3.780844513188854172e+00
2.045476556979576571e+03,3.675278861407299313e+00
2.050476556979576344e+03,3.354138421567043782e+00
2.055476556979576344e+03,3.245478544873086069e+00
2.060476556979576344e+03,3.536021080966098573e+00
2.065476556979576344e+03,3.380758807660134035e+00
2.070476556979576344e+03,3.534384262514656871e+00
2.075476556979576344e+03,3.481980194089070224e+00
2.080476556979576344e+03,3.493121402046498236e+00
2.085476556979576344e+03,3.357731118568222595e+00
