# ts,pupil
2.584736179719815482e+03,2.398870374913618431e+00
2.589736179719815482e+03,2.352486680432485322e+00
2.594736179719815482e+03,2.377981961541041134e+00
2.599736179719815482e+03,2.373742981142734632e+00
2.604736179719815482e+03,2.446674576460410311e+00
2.609736179719815482e+03,2.323588958444193775e+00
2.614736179719815482e+03,2.303676104236710653e+00
2.619736179719815482e+03,2.553216032041615069e+00
2.624736179719815482e+03,2.347385363006577741e+00
2.629736179719815482e+03,2.254365375500844149e+00
2.634736179719815482e+03,2.352998818847739759e+00
2.639736179719815482e+03,2.304545123965550335e+00
2.644736179719815482e+03,2.415288491007414162e+00
2.649736179719815482e+03,2.287903685366067918e+00
2.654736179719815482e+03,2.235502254799031530e+00
2.659736179719815482e+03,2.241227030591524283e+00
2.664736179719815482e+03,2.441996840271519531e+00
2.669736179719815482e+03,2.441081254684036139e+00
2.674736179719815482e+03,2.192915423775593009e+00
2.679736179719815482e+03,2.324995412555986185e+00
2.684736179719815482e+03,2.529921444555069510e+00
2.689736179719815482e+03,2.345301821243483520e+00
2.694736179719815482e+03,2.506467057975901191e+00
2.699736179719815482e+03,2.460447592238399928e+00
2.704736179719815482e+03,2.385309686689688569e+00
2.709736179719815482e+03,2.452392875784183524e+00
2.714736179719815482e+03,2.493861646764504059e+00
2.719736179719815482e+03,2.458493884179598687e+00
2.724736179719815482e+03,2.273342645335791889e+00
2.729736179719815482e+03,2.360118194214343212e+00
2.734736179719815482e+03,2.447181482558842713e+00
2.739736179719815482e+03,2.235587693696215794e+00
2.744736179719815482e+03,2.423201364637272093e+00
2.749736179719815482e+03,2.531294943515528750e+00
2.754736179719815482e+03,2.436410626969486515e+00
2.759736179719815482e+03,2.423591425781523867e+00
2.764736179719815482e+03,2.442576646418943564e+00
2.769736179719815482e+03,2.370054282266295775e+00
2.774736179719815482e+03,2.490589085343011710e+00
2.779736179719815482e+03,2.552459102868327889e+00
2.784736179719815482e+03,2.484453022253129362e+00
2.789736179719815482e+03,2.407363542582781069e+00
2.794736179719815482e+03,2.512099200807937471e+00
2.799736179719815482e+03,2.420245206791808990e+00
2.804736179719815482e+03,2.337820235217385356e+00
2.809736179719815482e+03,2.416133509586988470e+00
2.814736179719815482e+03,2.342464053226127163e+00
2.819736179719815482e+03,2.427031759066476280e+00
2.824736179719815482e+03,2.323145076971183887e+00
2.829736179719815482e+03,2.371726475902343978e+00
2.834736179719815482e+03,2.437347411288063981e+00
2.839736179719815482e+03,2.553494355047329023e+00
2.844736179719815482e+03,2.470063650629241714e+00
2.849736179719815482e+03,2.650172750685424461e+00
2.854736179719815482e+03,2.701249180316543708e+00
2.859736179719815482e+03,2.522196217545497721e+00
2.864736179719815482e+03,2.488457188091223848e+00
2.869736179719815482e+03,2.521764181017083661e+00
2.874736179719815482e+03,2.383779602122087837e+00
2.879736179719815482e+03,2.501652222510136969e+00
2.884736179719815482e+03,2.425074742152583784e+00
2.889736179719815482e+03,2.422517420849503278e+00
2.894736179719815482e+03,2.576729809215587252e+00
2.899736179719815482e+03,2.498143280500249475e+00
2.904736179719815482e+03,2.362120099450421673e+00
2.909736179719815482e+03,2.552473217294227492e+00
2.914736179719815482e+03,2.459386696488385482e+00
2.919736179719815482e+03,2.434521655671561202e+00
2.924736179719815482e+03,2.521112165279198791e+00
2.929736179719815482e+03,2.406549065861114389e+00
2.934736179719815482e+03,2.385866361628742105e+00
2.939736179719815482e+03,2.419140425973905106e+00
2.944736179719815482e+03,2.437556996299933054e+00
2.949736179719815482e+03,2.435825003057590532e+00
2.954736179719815482e+03,2.433846427135177404e+00
2.959736179719815482e+03,2.436405890318896095e+00
2.964736179719815482e+03,2.413884847394033084e+00
2.969736179719815482e+03,2.353185128422861983e+00
2.974736179719815482e+03,2.430950973319206732e+00
2.979736179719815482e+03,2.446114493415320723e+00
2.984736179719815482e+03,2.490083081223698258e+00
2.989736179719815482e+03,2.525212034255829519e+00
2.994736179719815482e+03,2.601769654046893976e+00
2.999736179719815482e+03,2.450120103836343155e+00
3.004736179719815482e+03,2.586988589237861902e+00
3.009736179719815482e+03,2.322199245399926948e+00
3.014736179719815482e+03,2.538610150791212661e+00
3.019736179719815482e+03,2.486361979518792786e+00
3.024736179719815482e+03,2.519235492683753908e+00
3.029736179719815482e+03,2.324249659230030574e+00
3.034736179719815482e+03,2.439063632107751900e+00
3.039736179719815482e+03,2.315706436342557684e+00
3.044736179719815482e+03,2.454304614898659143e+00
3.049736179719815482e+03,2.411577611726084314e+00
3.054736179719815482e+03,2.371025189868129601e+00
3.059736179719815482e+03,2.586367615231493833e+00
3.064736179719815482e+03,2.458831926147968971e+00
3.069736179719815482e+03,2.453346882730545797e+00
3.074736179719815482e+03,2.344210032089458995e+00
3.079736179719815482e+03,2.569408235128454621e+00
3.084736179719815482e+03,2.444340466068670725e+00
3.089736179719815482e+03,2.247403247848857255e+00
3.094736179719815482e+03,2.467352640061683644e+00
3.099736179719815482e+03,2.367857754717207719e+00
3.104736179719815482e+03,2.465755631764869893e+00
3.109736179719815482e+03,2.654916656900927485e+00
